iter	Passed	Remaining
0	184	183873
1	197	98350
2	211	70383
3	225	56238
4	240	47788
5	253	42016
6	266	37747
7	278	34575
8	293	32289
9	306	30386
10	322	28975
11	335	27659
12	349	26514
13	362	25547
14	374	24623
15	388	23899
16	402	23297
17	418	22828
18	434	22420
19	450	22058
20	464	21654
21	479	21311
22	493	20950
23	513	20881
24	529	20651
25	544	20414
26	562	20265
27	579	20119
28	593	19873
29	606	19613
30	619	19370
31	633	19163
32	646	18934
33	659	18745
34	672	18547
35	684	18337
36	698	18167
37	711	18024
38	724	17860
39	737	17703
40	749	17533
41	762	17388
42	774	17237
43	787	17100
44	798	16951
45	811	16826
46	823	16693
47	835	16570
48	847	16451
49	859	16335
50	872	16226
51	884	16131
52	897	16040
53	909	15937
54	921	15831
55	933	15735
56	945	15636
57	957	15546
58	969	15462
59	981	15382
60	993	15294
61	1005	15218
62	1018	15144
63	1030	15067
64	1043	15008
65	1055	14941
66	1067	14870
67	1079	14801
68	1091	14728
69	1103	14662
70	1118	14628
71	1130	14570
72	1144	14534
73	1158	14501
74	1173	14470
75	1185	14416
76	1199	14372
77	1213	14341
78	1226	14301
79	1239	14255
80	1252	14206
81	1265	14163
82	1277	14114
83	1289	14058
84	1301	14011
85	1313	13963
86	1325	13908
87	1337	13865
88	1350	13823
89	1362	13780
90	1375	13739
91	1394	13762
92	1411	13770
93	1427	13754
94	1443	13749
95	1457	13724
96	1471	13694
97	1483	13658
98	1497	13624
99	1508	13578
100	1520	13534
101	1532	13494
102	1543	13445
103	1554	13396
104	1565	13348
105	1578	13310
106	1589	13268
107	1601	13228
108	1613	13188
109	1625	13148
110	1637	13111
111	1649	13075
112	1661	13042
113	1674	13012
114	1687	12988
115	1700	12959
116	1713	12930
117	1725	12901
118	1739	12881
119	1751	12845
120	1764	12817
121	1775	12778
122	1788	12749
123	1799	12714
124	1812	12690
125	1824	12655
126	1836	12624
127	1850	12604
128	1862	12575
129	1874	12546
130	1886	12512
131	1899	12492
132	1912	12465
133	1924	12440
134	1936	12409
135	1949	12381
136	1960	12351
137	1971	12315
138	1983	12288
139	1995	12260
140	2008	12236
141	2021	12212
142	2033	12187
143	2044	12155
144	2056	12124
145	2067	12092
146	2078	12062
147	2089	12031
148	2102	12007
149	2113	11978
150	2126	11958
151	2138	11928
152	2150	11906
153	2163	11882
154	2174	11857
155	2187	11832
156	2198	11805
157	2209	11775
158	2221	11752
159	2234	11730
160	2245	11703
161	2258	11683
162	2270	11660
163	2282	11632
164	2294	11610
165	2306	11586
166	2317	11561
167	2330	11539
168	2341	11513
169	2353	11489
170	2365	11467
171	2376	11438
172	2387	11413
173	2400	11393
174	2410	11365
175	2422	11342
176	2434	11322
177	2448	11305
178	2460	11284
179	2472	11263
180	2482	11234
181	2494	11210
182	2506	11188
183	2518	11169
184	2530	11149
185	2543	11131
186	2556	11114
187	2569	11099
188	2581	11078
189	2593	11057
190	2608	11048
191	2621	11031
192	2634	11015
193	2647	10999
194	2659	10979
195	2674	10972
196	2700	11009
197	2713	10991
198	2725	10970
199	2737	10949
200	2750	10931
201	2763	10916
202	2774	10893
203	2786	10873
204	2798	10854
205	2812	10839
206	2825	10825
207	2838	10806
208	2849	10784
209	2862	10768
210	2874	10749
211	2886	10728
212	2899	10712
213	2911	10693
214	2923	10674
215	2935	10653
216	2946	10632
217	2958	10613
218	2970	10594
219	2983	10576
220	2995	10557
221	3007	10541
222	3020	10525
223	3032	10505
224	3043	10483
225	3056	10467
226	3070	10454
227	3083	10440
228	3096	10424
229	3108	10406
230	3120	10387
231	3131	10367
232	3145	10354
233	3158	10339
234	3170	10321
235	3181	10300
236	3194	10283
237	3206	10265
238	3216	10242
239	3229	10228
240	3241	10209
241	3253	10190
242	3265	10171
243	3277	10153
244	3288	10134
245	3300	10116
246	3315	10107
247	3339	10125
248	3365	10150
249	3384	10152
250	3401	10149
251	3421	10155
252	3442	10162
253	3462	10168
254	3480	10169
255	3499	10170
256	3522	10184
257	3553	10220
258	3573	10222
259	3594	10231
260	3624	10263
261	3649	10279
262	3672	10290
263	3692	10294
264	3710	10290
265	3722	10273
266	3736	10256
267	3748	10238
268	3767	10239
269	3786	10236
270	3803	10232
271	3816	10215
272	3830	10199
273	3842	10181
274	3856	10167
275	3869	10151
276	3882	10133
277	3895	10116
278	3908	10101
279	3921	10083
280	3934	10067
281	3947	10050
282	3960	10033
283	3972	10015
284	3985	9998
285	3999	9984
286	4011	9966
287	4024	9948
288	4036	9931
289	4049	9914
290	4063	9900
291	4078	9889
292	4092	9875
293	4105	9859
294	4120	9846
295	4134	9832
296	4148	9820
297	4163	9808
298	4176	9792
299	4189	9774
300	4202	9758
301	4215	9742
302	4227	9725
303	4242	9713
304	4256	9699
305	4269	9683
306	4283	9668
307	4297	9654
308	4309	9637
309	4322	9621
310	4335	9606
311	4348	9589
312	4360	9571
313	4373	9554
314	4385	9536
315	4398	9521
316	4411	9504
317	4425	9490
318	4439	9476
319	4452	9462
320	4467	9449
321	4481	9435
322	4495	9421
323	4507	9405
324	4520	9388
325	4533	9373
326	4545	9356
327	4559	9341
328	4573	9327
329	4586	9311
330	4598	9293
331	4610	9276
332	4623	9261
333	4636	9245
334	4649	9229
335	4661	9212
336	4674	9196
337	4686	9179
338	4700	9164
339	4712	9147
340	4725	9131
341	4738	9116
342	4750	9099
343	4763	9084
344	4776	9069
345	4789	9053
346	4802	9038
347	4814	9021
348	4828	9005
349	4840	8989
350	4854	8975
351	4866	8959
352	4879	8944
353	4893	8930
354	4906	8913
355	4918	8897
356	4930	8881
357	4943	8864
358	4955	8848
359	4968	8833
360	4982	8819
361	4994	8803
362	5004	8782
363	5016	8764
364	5029	8749
365	5040	8731
366	5053	8715
367	5066	8701
368	5080	8688
369	5094	8674
370	5109	8662
371	5124	8650
372	5139	8638
373	5153	8625
374	5169	8615
375	5183	8602
376	5199	8591
377	5214	8580
378	5234	8576
379	5254	8572
380	5275	8571
381	5296	8568
382	5308	8552
383	5323	8539
384	5339	8529
385	5354	8517
386	5372	8510
387	5389	8501
388	5406	8491
389	5423	8482
390	5434	8464
391	5446	8447
392	5458	8430
393	5471	8415
394	5482	8397
395	5498	8387
396	5517	8380
397	5533	8369
398	5548	8356
399	5570	8356
400	5587	8346
401	5608	8343
402	5628	8338
403	5645	8328
404	5659	8315
405	5672	8299
406	5684	8282
407	5696	8265
408	5708	8248
409	5721	8233
410	5734	8217
411	5749	8205
412	5764	8192
413	5783	8186
414	5805	8183
415	5826	8180
416	5853	8183
417	5867	8169
418	5884	8159
419	5897	8144
420	5910	8129
421	5924	8113
422	5937	8098
423	5950	8084
424	5964	8069
425	5977	8053
426	5988	8036
427	6001	8021
428	6013	8004
429	6026	7988
430	6039	7972
431	6051	7956
432	6063	7939
433	6074	7922
434	6087	7906
435	6101	7892
436	6114	7877
437	6126	7861
438	6138	7844
439	6150	7827
440	6163	7812
441	6173	7794
442	6185	7777
443	6198	7761
444	6212	7747
445	6224	7732
446	6238	7717
447	6251	7702
448	6263	7685
449	6274	7668
450	6286	7652
451	6300	7638
452	6311	7621
453	6322	7603
454	6335	7588
455	6347	7572
456	6359	7556
457	6371	7540
458	6384	7525
459	6396	7509
460	6409	7493
461	6421	7477
462	6433	7461
463	6444	7444
464	6457	7429
465	6468	7412
466	6480	7396
467	6494	7382
468	6506	7366
469	6517	7349
470	6530	7334
471	6543	7319
472	6555	7303
473	6568	7288
474	6580	7273
475	6592	7256
476	6604	7241
477	6617	7227
478	6630	7211
479	6641	7195
480	6654	7179
481	6666	7163
482	6678	7148
483	6691	7133
484	6703	7117
485	6714	7101
486	6726	7085
487	6737	7069
488	6749	7053
489	6761	7037
490	6774	7023
491	6786	7007
492	6800	6993
493	6812	6978
494	6824	6962
495	6836	6946
496	6847	6930
497	6859	6914
498	6871	6898
499	6882	6882
500	6894	6866
501	6906	6851
502	6919	6836
503	6931	6821
504	6942	6805
505	6954	6789
506	6966	6773
507	6977	6757
508	6988	6741
509	7000	6726
510	7013	6711
511	7024	6695
512	7036	6680
513	7048	6664
514	7060	6649
