iter	RMSE
0	3715.865013
1	3426.988299
2	3155.560052
3	2911.175803
4	2687.994854
5	2486.364183
6	2300.39004
7	2129.228063
8	1979.141509
9	1841.54355
10	1715.273323
11	1604.113282
12	1502.46997
13	1407.39233
14	1321.939734
15	1247.628493
16	1181.036533
17	1119.272513
18	1063.794379
19	1014.638931
20	969.3074927
21	931.1865827
22	895.2099542
23	864.2064647
24	837.2277478
25	812.0608564
26	791.1706589
27	772.2447401
28	754.5634098
29	739.2040333
30	726.375613
31	714.5327426
32	703.8750165
33	693.8996428
34	685.3781317
35	677.3315722
36	670.4548352
37	663.8251865
38	658.2926816
39	652.5930253
40	647.6455117
41	643.4497991
42	639.6836016
43	636.3028386
44	632.2102152
45	628.8446159
46	626.275516
47	623.5538661
48	620.9947396
49	618.7796558
50	616.4684795
51	614.4852915
52	612.7917199
53	611.2529717
54	609.575706
55	608.4394628
56	606.9747853
57	605.7792787
58	604.7245545
59	603.4554979
60	602.7054348
61	601.6432902
62	600.8260853
63	599.8138278
64	598.8806441
65	598.0940507
66	597.4075598
67	596.9770541
68	596.2553552
69	595.5619075
70	594.7639007
71	594.16761
72	593.5749804
73	593.0053178
74	592.3351766
75	591.8817289
76	591.2120725
77	590.7304706
78	590.1724967
79	589.7832551
80	589.5001263
81	589.2027316
82	588.8208873
83	588.1281309
84	587.8011696
85	587.5051019
86	587.1484701
87	586.6672637
88	586.0393598
89	585.7834806
90	585.5486246
91	585.2439029
92	585.0186762
93	584.6644072
94	584.4440551
95	584.2229508
96	583.9225125
97	583.5109655
98	583.3150782
99	583.0951388
100	582.9248047
101	582.6523344
102	582.5488471
103	582.2070186
104	582.0136092
105	581.7717854
106	581.4405725
107	581.2944514
108	581.0874901
109	580.7952847
110	580.4358419
111	580.3397659
112	580.0740708
113	579.6970586
114	579.4936741
115	579.1092577
116	578.955417
117	578.7480547
118	578.5868563
119	578.4717924
120	578.2925051
121	577.9789733
122	577.8867583
123	577.8067859
124	577.6325448
125	577.4811901
126	577.4006273
127	577.1082244
128	576.9997912
129	576.8787838
130	576.7273021
131	576.5809271
132	576.3592696
133	576.2114016
134	576.007312
135	575.7938156
136	575.6272619
137	575.4762216
138	575.2303492
139	575.1137377
140	574.9243514
141	574.8166932
142	574.7015744
143	574.5709746
144	574.4529805
145	574.345462
146	574.1687878
147	573.9401514
148	573.8056651
149	573.6945223
150	573.5581709
151	573.3238289
152	573.15104
153	572.9951617
154	572.9069211
155	572.7994614
156	572.6790892
157	572.601618
158	572.4368423
159	572.1572477
160	572.0466884
161	571.9729627
162	571.8373134
163	571.7155098
164	571.5729264
