iter	Passed	Remaining
0	150	149863
1	162	81166
2	175	58196
3	186	46516
4	197	39314
5	208	34568
6	220	31254
7	231	28732
8	249	27483
9	266	26411
10	279	25132
11	293	24146
12	307	23321
13	320	22573
14	333	21874
15	345	21263
16	358	20728
17	370	20228
18	383	19804
19	397	19489
20	411	19180
21	424	18892
22	439	18673
23	453	18425
24	465	18138
25	477	17886
26	490	17688
27	508	17651
28	522	17484
29	535	17310
30	551	17227
31	562	17023
32	574	16839
33	587	16688
34	600	16547
35	611	16382
36	622	16193
37	633	16046
38	645	15905
39	657	15777
40	668	15624
41	680	15514
42	691	15392
43	702	15259
44	713	15150
45	725	15036
46	735	14911
47	745	14795
48	762	14794
49	773	14697
50	785	14618
51	798	14555
52	809	14463
53	820	14366
54	830	14268
55	841	14184
56	853	14121
57	864	14038
58	876	13984
59	888	13920
60	898	13834
61	910	13768
62	922	13717
63	933	13658
64	945	13598
65	956	13531
66	967	13467
67	976	13389
68	988	13336
69	999	13285
70	1018	13326
71	1029	13274
72	1040	13212
73	1050	13149
74	1062	13098
75	1072	13034
76	1083	12989
77	1094	12932
78	1104	12880
79	1115	12830
80	1125	12766
81	1136	12725
82	1148	12689
83	1159	12646
84	1170	12602
85	1181	12561
86	1193	12520
87	1204	12481
88	1215	12438
89	1228	12418
90	1238	12370
91	1251	12354
92	1264	12331
93	1274	12288
94	1285	12249
95	1297	12214
96	1307	12173
97	1319	12144
98	1330	12107
99	1340	12066
100	1350	12018
101	1360	11981
102	1372	11948
103	1382	11912
104	1393	11876
105	1405	11850
106	1415	11809
107	1427	11787
108	1438	11760
109	1451	11740
110	1462	11712
111	1474	11690
112	1486	11665
113	1505	11703
114	1515	11664
115	1526	11636
116	1537	11606
117	1547	11569
118	1560	11549
119	1572	11528
120	1582	11498
121	1594	11472
122	1606	11452
123	1617	11423
124	1627	11393
125	1638	11365
126	1649	11341
127	1662	11324
128	1674	11306
129	1686	11283
130	1698	11268
131	1710	11248
132	1723	11233
133	1736	11219
134	1753	11233
135	1765	11213
136	1776	11188
137	1789	11178
138	1802	11165
139	1814	11145
140	1827	11130
141	1838	11107
142	1850	11092
143	1863	11075
144	1874	11051
145	1885	11026
146	1897	11009
147	1909	10994
148	1920	10971
149	1932	10953
150	1945	10936
151	1959	10933
152	1971	10915
153	1983	10894
154	2001	10908
155	2013	10891
156	2025	10878
157	2040	10872
158	2053	10859
159	2067	10856
160	2080	10841
161	2092	10824
162	2106	10814
163	2117	10793
164	2129	10776
165	2141	10760
166	2154	10747
167	2167	10734
168	2179	10715
169	2192	10703
170	2203	10682
171	2215	10666
172	2227	10645
173	2239	10629
174	2258	10646
175	2271	10633
176	2281	10609
177	2295	10598
178	2305	10574
179	2317	10555
180	2329	10539
181	2339	10515
182	2351	10497
183	2361	10471
184	2371	10448
185	2383	10432
186	2395	10412
187	2405	10389
188	2417	10374
189	2429	10355
190	2438	10330
191	2450	10314
192	2461	10292
193	2473	10274
194	2483	10250
195	2494	10233
196	2510	10231
197	2522	10216
198	2532	10194
199	2543	10173
200	2553	10150
201	2564	10131
202	2575	10113
203	2587	10097
204	2599	10080
